"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"JX5XC","111","winter22","asynch","Which shift(s) end at 3pm?",14,"BIO",FALSE,18.547,3,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"DJNX",FALSE,91.802,4,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,19.61,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,9.994,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,65.23,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,26.594,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,32.489,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,10.6,2,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,25.514,2,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,61.88,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"",FALSE,18.445,0,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"B",FALSE,5.681,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,11.323,2,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,6.364,1,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"CEGOX",FALSE,31.598,5,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Which shift(s) end at 3pm?",14,"EFX",FALSE,22.199,3,"Orth-Full","online-replication"
"B570P","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,30.596,2,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,14.021,1,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,13.774,1,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,10.651,1,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"E",FALSE,27.278,1,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,8.727,1,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,8.485,2,"Orth-Full","online-replication"
"E0XXW","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"H",FALSE,17.911,1,"Orth-Full","online-replication"
